# for each scheme, we give the best time/item and the average time/item in ns
# Volume		std::shuffle-lehmer	batched_random::shuffle_2-lehmer	batched_random::shuffle_23456-lehmer	std::shuffle-mersenne	batched_random::shuffle_2-mersenne	batched_random::shuffle_23456-mersenne	shuffle_lehmer	naive_shuffle_lehmer_2	shuffle_lehmer_2	shuffle_lehmer_23456	shuffle_pcg 	naive_shuffle_pcg_2	shuffle_pcg_2	shuffle_pcg_23456	shuffle_chacha	naive_shuffle_chacha_2	shuffle_chacha_2	shuffle_chacha_23456
100		  1.71    1.92    1.63    1.21              2.66    2.32    2.09    1.49             16.55   11.07    9.15    3.98
163		  1.68    1.79    1.46    1.10              2.63    2.16    1.90    1.37             15.91   10.18    8.25    3.47
265		  1.63    1.62    1.30    1.01              2.61    1.99    1.71    1.35             15.98   10.00    8.11    3.38
432		  1.56    1.54    1.22    0.97              2.55    1.91    1.62    1.28             16.04    9.89    8.04    3.37
703		  1.54    1.50    1.16    0.92              2.52    1.86    1.56    1.19             16.08    9.62    7.95    3.44
1145		  1.51    1.47    1.13    0.87              2.50    1.84    1.53    1.10             16.16    9.78    8.00    3.58
1864		  1.50    1.46    1.08    0.82              2.47    1.81    1.50    1.05             16.17    9.76    7.95    3.61
3035		  1.46    1.39    1.03    0.79              2.44    1.73    1.44    1.01             16.20    9.57    7.88    3.83
4942		  1.43    1.37    1.01    0.76              2.44    1.71    1.41    0.99             16.19    9.35    7.78    3.95
8047		  1.42    1.33    0.99    0.76              2.42    1.68    1.38    0.99             16.17    9.27    7.76    4.05
13104		  1.41    1.31    0.98    0.78              2.41    1.66    1.36    0.97             16.14    9.08    7.73    4.09
21337		  1.41    1.30    0.97    0.83              2.40    1.64    1.35    0.97             16.09    9.21    7.75    4.46
34743		  1.41    1.30    0.99    0.89              2.41    1.64    1.34    0.99             16.10    9.14    7.71    4.85
56573		  1.40    1.29    1.02    0.97              2.40    1.64    1.35    1.03             16.11    9.12    7.77    5.13
92120		  1.46    1.69    1.07    1.03              2.40    2.07    1.37    1.08             16.12    9.63    7.74    5.31
150000		  1.54    2.18    1.17    1.13              2.47    2.56    1.55    1.22             16.15   10.21    8.01    5.56
