# for each scheme, we give the best time/item and the average time/item in ns 
# Volume		std::shuffle-lehmer	batched_random::shuffle_2-lehmer	batched_random::shuffle_23456-lehmer	std::shuffle-mersenne	batched_random::shuffle_2-mersenne	batched_random::shuffle_23456-mersenne	shuffle_lehmer	naive_shuffle_lehmer_2	shuffle_lehmer_2	shuffle_lehmer_23456	shuffle_pcg	naive_shuffle_pcg_2	shuffle_pcg_2	shuffle_pcg_23456	shuffle_chacha	naive_shuffle_chacha_2	shuffle_chacha_2	shuffle_chacha_23456
100		  1.79    1.72    1.40    1.20              2.54    2.02    1.84    1.35              7.95    5.03    4.70    2.47            
163		  1.68    1.50    1.26    1.03              2.16    1.75    1.55    1.17              7.76    4.73    4.44    2.24            
265		  1.56    1.44    1.09    0.90              2.08    1.59    1.49    1.04              7.69    4.55    4.29    2.08            
432		  1.47    1.22    0.99    0.81              1.97    1.45    1.28    0.92              7.96    4.54    4.29    1.97            
703		  1.40    1.11    0.90    0.73              1.93    1.32    1.18    0.83              7.60    4.32    4.23    1.93            
1145		  1.34    1.03    0.84    0.65              1.86    1.24    1.11    0.76              7.72    4.33    4.07    2.00            
1864		  1.30    0.96    0.80    0.60              1.80    1.22    1.06    0.70              7.58    4.19    4.04    1.98            
3035		  1.29    0.95    0.77    0.57              1.73    1.16    1.02    0.67              7.75    4.17    4.00    2.07            
4942		  1.28    0.90    0.75    0.57              1.70    1.09    1.00    0.67              7.55    4.32    3.98    2.08            
8047		  1.26    0.84    0.73    0.55              1.71    1.11    0.97    0.65              7.57    4.21    4.03    2.19            
13104		  1.23    0.83    0.73    0.54              1.68    1.07    1.02    0.65              7.72    4.13    3.98    2.30            
21337		  1.24    0.82    0.71    0.56              1.69    1.11    1.04    0.68              7.71    4.29    4.23    2.51            
34743		  1.24    0.84    0.76    0.59              1.69    1.08    0.95    0.70              7.71    4.27    4.11    2.63            
56573		  1.24    0.84    0.75    0.70              1.67    1.08    0.96    0.74              7.81    4.35    4.17    2.99            
92120		  1.22    0.87    0.82    0.73              1.68    1.04    0.99    0.80              7.90    4.63    4.31    2.95            
150000		  1.23    0.88    0.83    0.81              1.68    1.05    0.97    0.83              7.93    4.75    4.27    3.04            
